2018-01-01 12:48:29 [Payments] [bitcoin nano] - bitcoin nano requireShielding: false
2018-01-01 12:48:29 [Payments] [bitcoin nano] - bitcoin nano minConf: 10
2018-01-01 12:48:29 [Payments] [bitcoin nano] - bitcoin nano payments txfee reserve: 0.000005
2018-01-01 12:48:29 [Payments] [bitcoin nano] - bitcoin nano maxBlocksPerPayment: 3
2018-01-01 15:47:01 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
2018-01-01 15:47:58 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
2018-01-01 15:48:55 [Payments] [bitcoin nano] - Finished interval - time spent: 8ms total, 4ms redis, 4ms daemon RPC
2018-01-01 15:49:52 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 4ms daemon RPC
2018-01-01 15:50:49 [Payments] [bitcoin nano] - Finished interval - time spent: 8ms total, 2ms redis, 6ms daemon RPC
2018-01-01 15:51:46 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 2ms redis, 4ms daemon RPC
2018-01-01 15:52:43 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 1ms redis, 3ms daemon RPC
2018-01-01 15:53:40 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 4ms daemon RPC
2018-01-01 15:54:37 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 1ms redis, 3ms daemon RPC
2018-01-01 15:55:34 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 2ms redis, 3ms daemon RPC
2018-01-01 15:56:31 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 3ms redis, 4ms daemon RPC
2018-01-01 15:57:28 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 1ms redis, 4ms daemon RPC
2018-01-01 15:58:25 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
2018-01-01 15:59:22 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 3ms redis, 4ms daemon RPC
2018-01-01 16:00:19 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 1ms redis, 4ms daemon RPC
2018-01-01 16:01:16 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 1ms redis, 3ms daemon RPC
2018-01-01 16:02:13 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 0ms redis, 3ms daemon RPC
2018-01-01 16:03:10 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 3ms redis, 5ms daemon RPC
2018-01-01 16:04:07 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
